,points,sex
0,36,male
1,36,male
2,36,male
3,36,male
4,36,male
5,36,male
6,36,male
7,36,male
8,36,male
9,35,male
10,35,male
11,35,male
12,34,male
13,34,male
14,34,male
15,34,male
16,34,male
17,34,male
18,33,male
19,33,male
20,33,male
21,33,male
22,33,male
23,33,male
24,33,male
25,33,male
26,33,female
27,33,male
28,33,male
29,33,female
30,33,male
31,33,male
32,33,male
33,33,female
34,33,male
35,33,male
36,33,male
37,33,male
38,32,male
39,32,male
40,32,male
41,32,male
42,32,male
43,32,male
44,32,male
45,32,male
46,32,male
47,32,female
48,32,male
49,32,male
50,32,male
51,32,male
52,32,male
53,32,male
54,32,male
55,32,male
56,32,male
57,32,female
58,32,male
59,32,male
60,31,male
61,31,male
62,31,male
63,31,female
64,31,male
65,31,male
66,31,male
67,31,female
68,31,male
69,31,male
70,31,male
71,31,male
72,31,male
73,31,male
74,31,male
75,31,male
76,31,male
77,31,male
78,31,male
79,31,male
80,30,male
81,30,male
82,30,male
83,30,female
84,30,male
85,30,male
86,30,male
87,30,male
88,30,male
89,30,male
90,30,male
91,30,male
92,30,male
93,30,male
94,30,male
95,30,female
96,30,male
97,30,male
98,30,male
99,30,male
100,30,male
101,30,male
102,30,male
103,30,male
104,30,female
105,30,male
106,30,andy
107,30,female
108,30,male
109,30,male
110,30,female
111,30,male
112,30,male
113,30,male
114,30,male
115,30,male
